Residence;GDP;Adjusted_income;GINI;Inflation;QuestionTot;Dollar_to_coin;Coin_to_dollar
Argentina;445445.1775;8160.572029;42.9;36.1;16000;97.03;0.01031
Australia;1396567.015;42151.08638;34.4;0.846905537;20000;1.37;0.72993
Austria;445075.3917;41179.54893;30.8;1.381910634;600;0.85;1.17647
Belgium;533254.5181;38208.4492;27.2;0.740791812;400;0.85;1.17647
Bosnia_and_Herzegovina;20202.47954;5113.447455;33;-1.051296008;200;1.66;0.60241
Brazil;1877810.514;7628.82845;53.4;3.211768038;1000;5.26;0.19011
Bulgaria;68558.81511;8260.45734;41.3;1.672440969;200;1.66;0.60241
Canada;1741576.394;37829.48274;33.3;0.716999632;1000;1.26;0.79365
China;14279937.47;8393.680725;38.5;2.419421895;400;6.48;0.15432
Croatia;60752.58898;12495.65202;29.7;0.771820346;1000;6.36;0.15723
Czechia;250686.4786;17342.72208;25;3.161295285;4000;21.66;0.04617
Denmark;350104.3277;51806.73643;28.2;0.420711974;8000;6.31;0.15848
Egypt;303080.8656;2615.172607;31.5;5.04493289;1000;15.7;0.063694268
Estonia;31471.10066;19446.01214;30.3;-0.444531098;200;0.85;1.17647
Ethiopia;95912.59063;744.1434765;35;15.84032204;2000;45.12;0.02216
France;2715518.274;33723.90299;32.4;0.476498853;1000;0.85;1.17647
Georgia;17477.25556;3977.48713;35.9;5.20246489;200;3.08;0.32468
Germany;3861123.558;39093.19963;31.9;0.50668989;800;0.85;1.17647
Ghana;67234.29258;1832.489588;43.5;9.95344087;600;6.01;0.16639
India;2870504.097;1821.960921;37.8;6.623436776;2400;74.19;0.01348
Indonesia;1119091.259;3280.307551;38.2;1.920968006;200000;14373.7;0.00007
Iran;258245.4977;4236.879933;42;39.90734557;800000;4210.5;0.00024
Ireland;398590.2101;43036.40686;31.4;-0.334584625;800;0.85;1.17647
Israel;394652.2089;37638.05315;39;-0.5884303;4000;3.22;0.31056
Italy;2004913.358;27895.07427;35.9;-0.137707574;600;0.85;1.17647
Japan;5064872.876;32481.50892;32.9;-0.016369291;100000;109.16;0.00916
Jordan;44502.89592;4131.542779;33.7;0.333294351;200;1.41;0.70922
Kazakhstan;181667.1901;6716.639434;27.8;6.749001838;40000;425.34;0.00235
Kenya;95503.08854;1492.0704;40.8;5.404814672;2000;109.4;0.00914
Lebanon;51991.63449;5952.843246;31.8;84.86433305;400000;1512.2;0.00066
Malaysia;364681.3675;8223.628645;41;-1.138702154;1600;4.24;0.23585
Mexico;1268870.527;7749.904979;45.4;3.396834156;6000;19.86;0.05035
Moldova;11968.69901;4126.814803;25.7;3.765971222;600;17.55;0.05698
Montenegro;5542.674765;7628.684483;38.5;-0.2556557;100;0.85;1.17647
Nepal;34186.18069;1009.04294;32.8;5.052366553;6000;118.68;0.00843
Netherlands;907050.8631;43778.14931;28.1;1.272460378;600;0.85;1.17647
New_Zealand;209127.4545;34344.57097;32.5;1.7145617;1200;0.7;1.42857
Nigeria;448120.4289;1779.188548;35.1;11.39679497;8000;411.75;0.00243
North_Macedonia;12547.08617;4854.594602;34.2;1.200073489;6000;52.3;0.01912
Norway;405510;60776.13037;27.6;1.286584907;10000;8.85;0.11299
Pakistan;278221.906;1186.309109;31.6;9.739993139;8000;164.55;0.00608
Panama;66787.9;13274.437;49.8;-1.550275408;400;1;1
Paraguay;37906.94407;4885.118638;45.7;1.767515924;1000000;6926.71;0.00014
Poland;595862.0869;13254.8157;30.2;3.374469726;1000;3.88;0.25773
Portugal;239510.7709;18590.61919;33.5;-0.01243833;400;0.85;1.17647
Romania;249696.8546;10873.69313;35.8;2.631073112;1000;4.18;0.23923
Serbia;51475.01653;5770.767752;36.2;1.575532901;12000;99.8;0.01002
Singapore;374386.307;48343.59725;39.8;-0.181916667;1600;1.36;0.73529
Slovakia;105119.1602;15649.87124;25;1.936941267;200;0.85;1.17647
Slovenia;54174.22731;20746.3207;24.6;-0.054856816;400;0.85;1.17647
South_Africa;351431.6492;4862.222806;63;3.223885042;6000;14.8;0.06757
South_Korea;1646739.22;25779.87589;31.4;0.537258393;800000;1166.52;0.00086
Spain;1393490.525;25055.29563;34.7;-0.322671033;400;0.85;1.17647
Sweden;531283.3045;43998.41705;30;0.497367319;60000;8.66;0.11547
Switzerland;731474.3679;65600.05547;33.1;-0.725874933;2000;0.91;1.0989
Turkey;761428.1834;7585.040685;41.9;12.27895745;1000;8.48;0.11792
Ukraine;153929.5019;3302.10457;26.6;2.732492094;2400;26.66;0.03751
United_Kingdom;2830813.508;35835;35.1;0.989486704;500;0.72;1.38889
United_States;21433224.7;55419.38641;41.4;1.233584396;1000;1;1
Uruguay;61231.14988;13626.1881;39.7;9.756406361;12000;43.36;0.02306
Vietnam;261921.2448;2162.500744;35.7;3.220934367;800000;22834.95;0.00004
