"Income","Debts","birthyear","Gender","Employment","No_war_exper","region_now","region_before","score","war","fast_news","slow_news","Fin_expectation_worse","Fin_expectation_better","Fin_expectation_much_worse","Fin_expectation_much_better","Fin_expectation_same","EducationCompleted_Undergrad_Grad","EducationCompleted_PhD","EducationCompleted_Secondary_educ","EducationCompleted_Technical_educ"
1,1,1995,0,1,0,1,1,4,1,1,0,0,0,0,0,1,1,0,0,0
1,0,1993,0,1,1,0,0,3,0,1,0,0,0,0,0,1,1,0,0,0
1,0,1996,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
1,0,1994,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0
1,0,1992,1,1,0,1,1,0,2,1,0,0,0,0,0,1,1,0,0,0
1,1,1983,0,1,1,1,1,8,1,1,0,0,0,0,0,1,1,0,0,0
0,0,2000,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
1,1,1988,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
1,1,1985,0,1,0,1,1,5,2,0,1,0,0,0,1,0,1,0,0,0
1,0,1984,0,0,0,1,1,0,3,0,1,0,0,0,0,1,0,1,0,0
0,1,1974,1,1,0,1,1,5,1,1,0,1,0,0,0,0,1,0,0,0
0,1,1985,1,1,0,1,1,10,3,0,1,0,1,0,0,0,1,0,0,0
1,0,1996,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0
1,0,1981,1,1,0,1,1,6,3,0,1,0,1,0,0,0,1,0,0,0
1,1,1977,1,1,0,1,1,3,2,1,0,0,0,1,0,0,1,0,0,0
1,1,1978,1,1,0,0,0,4,2,1,0,1,0,0,0,0,1,0,0,0
0,1,1998,1,1,0,1,1,7,2,1,0,0,0,0,0,1,1,0,0,0
1,1,1988,0,1,0,0,1,2,1,1,0,0,1,0,0,0,1,0,0,0
1,1,1980,1,0,0,0,0,6,3,1,0,0,0,0,0,1,1,0,0,0
1,1,1988,1,1,1,0,0,5,0,1,0,0,0,0,0,1,1,0,0,0
1,0,1991,1,0,0,1,1,5,3,0,1,0,1,0,0,0,1,0,0,0
1,0,1961,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0
1,1,1984,0,1,0,1,1,7,1,1,0,0,0,0,0,1,1,0,0,0
1,1,2001,0,1,0,1,1,0,2,1,0,0,1,0,0,0,1,0,0,0
1,0,1977,0,1,1,0,0,3,1,1,0,1,0,0,0,0,0,1,0,0
1,0,1988,1,1,1,0,0,5,0,1,0,0,0,0,0,1,0,1,0,0
0,0,1952,1,0,0,0,0,7,1,1,0,1,0,0,0,0,0,1,0,0
0,0,1978,1,1,0,1,1,4,2,1,0,0,1,0,0,0,1,0,0,0
1,1,1975,1,0,1,0,1,8,1,1,0,0,0,0,1,0,1,0,0,0
0,0,1998,1,1,0,1,1,0,2,1,0,0,0,0,0,1,1,0,0,0
1,0,1995,0,1,0,1,1,0,2,1,0,0,0,0,1,0,1,0,0,0
1,0,1996,1,0,0,1,1,0,3,1,0,0,0,0,0,1,1,0,0,0
1,0,1988,1,1,0,1,1,2,1,1,0,0,0,0,0,1,0,1,0,0
0,0,1982,1,1,0,1,1,5,2,1,0,0,0,0,0,1,1,0,0,0
1,1,1983,1,1,0,1,1,6,1,0,1,0,0,0,0,1,0,1,0,0
1,0,1976,1,1,0,0,1,2,2,1,0,0,0,0,0,1,0,1,0,0
1,1,1985,0,1,0,1,1,0,3,0,1,0,1,0,0,0,0,1,0,0
1,1,1982,1,1,0,1,1,5,2,1,0,0,0,0,0,1,0,1,0,0
1,1,1987,1,1,0,1,1,5,2,1,0,0,0,0,0,1,1,0,0,0
0,0,1983,1,0,0,0,0,1,2,1,0,0,1,0,0,0,1,0,0,0
1,1,1988,0,1,0,0,1,0,2,1,0,0,0,0,1,0,1,0,0,0
0,1,1982,1,1,0,1,1,7,3,1,0,0,0,0,1,0,1,0,0,0
0,0,1982,1,1,0,0,1,0,2,1,0,0,0,0,0,1,1,0,0,0
1,0,1981,1,0,0,0,1,0,3,1,0,1,0,0,0,0,1,0,0,0
1,0,1985,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
0,1,1986,1,1,1,1,1,8,2,1,0,0,0,0,0,1,1,0,0,0
0,1,1976,1,1,1,0,0,6,1,0,1,1,0,0,0,0,1,0,0,0
1,1,1988,0,1,0,1,1,5,1,1,0,0,0,0,0,1,1,0,0,0
0,0,2001,0,1,0,1,1,1,4,1,0,0,0,0,1,0,0,0,1,0
0,0,2001,1,0,0,1,1,2,3,1,0,0,1,0,0,0,1,0,0,0
0,0,1978,1,1,0,0,0,5,1,0,0,0,0,0,0,1,1,0,0,0
0,1,1995,1,1,0,0,0,6,1,1,0,0,0,0,1,0,1,0,0,0
1,1,1978,1,1,0,1,1,6,2,1,0,1,0,0,0,0,1,0,0,0
0,1,1959,1,0,1,0,0,10,1,1,0,0,0,0,1,0,1,0,0,0
0,0,1949,1,0,0,0,0,6,1,1,0,0,0,1,0,0,0,0,0,1
0,1,1996,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
1,1,2001,0,1,0,1,1,0,2,1,0,0,1,0,0,0,1,0,0,0
0,0,1979,1,0,0,0,1,4,0,0,1,0,1,0,0,0,1,0,0,0
0,1,2000,0,0,0,1,1,3,2,1,0,0,1,0,0,0,1,0,0,0
0,1,1975,1,1,1,1,1,6,3,1,0,0,1,0,0,0,1,0,0,0
0,0,2001,1,0,0,0,0,8,2,1,0,0,1,0,0,0,1,0,0,0
1,0,1994,0,1,0,1,1,3,2,1,0,0,1,0,0,0,1,0,0,0
1,0,2001,1,0,1,0,0,3,1,1,0,0,1,0,0,0,1,0,0,0
0,1,1979,0,1,0,1,1,6,1,1,0,0,1,0,0,0,1,0,0,0
1,0,1992,1,1,0,1,1,10,1,0,1,0,0,0,0,1,1,0,0,0
