personDocumentTypeName;year;region_name;koatuu_name;university_name;university_id;university_parent_id;university_financing_type_name;university_governance_type_name;graduates_fulltime;graduates_partime
Студентський квиток;2015;ВІННИЦЬКА ОБЛАСТЬ;ЛЕНІНСЬКИЙ;Вінницький національний медичний університет ім. М. І. Пирогова;20;;Державна;Міністерство охорони здоров`я України;572;0
Студентський квиток;2015;ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ;ДНІПРО;Дніпровський державний медичний університет;210;;Державна;Міністерство охорони здоров`я України;422;0
Студентський квиток;2015;ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ;СОБОРНИЙ;Товариство з обмеженою відповідальністю "Дніпровський медичний інститут традиційної і нетрадиційної медицини";864;;Приватна;Без підпорядкування;5;0
Студентський квиток;2015;ДОНЕЦЬКА ОБЛАСТЬ;ЛИМАН;Донецький національний медичний університет;4;;Державна;Міністерство охорони здоров`я України;118;0
Студентський квиток;2015;ЗАКАРПАТСЬКА ОБЛАСТЬ;УЖГОРОД;Державний вищий навчальний заклад "Ужгородський національний університет";207;;Державна;Міністерство освіти і науки України;200;0
Студентський квиток;2015;ЗАПОРІЗЬКА ОБЛАСТЬ;ВОЗНЕСЕНІВСЬКИЙ;Запорізький державний медичний університет;99;;Державна;Міністерство охорони здоров`я України;422;0
Студентський квиток;2015;ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ;ІВАНО-ФРАНКІВСЬК;Івано-Франківський національний медичний університет;285;;Державна;Міністерство охорони здоров`я України;294;0
Студентський квиток;2015;ЛУГАНСЬКА ОБЛАСТЬ;РУБІЖНЕ;Державний заклад "Луганський державний медичний університет";13;;Державна;Міністерство охорони здоров`я України;42;0
Студентський квиток;2015;ЛЬВІВСЬКА ОБЛАСТЬ;ЛИЧАКІВСЬКИЙ;Львівський національний медичний університет імені Данила Галицького;121;;Державна;Міністерство охорони здоров`я України;311;0
Студентський квиток;2015;ЛЬВІВСЬКА ОБЛАСТЬ;ФРАНКІВСЬКИЙ;Товариство з обмеженою відповідальністю "Львівський медичний інститут";1362;;Приватна;Без підпорядкування;19;0
Студентський квиток;2015;М.КИЇВ;М.КИЇВ;ПРИВАТНИЙ ВИЩИЙ НАВЧАЛЬНИЙ ЗАКЛАД "КИЇВСЬКИЙ МЕДИЧНИЙ УНІВЕРСИТЕТ";197;;Приватна;Без підпорядкування;91;0
Студентський квиток;2015;М.КИЇВ;ДАРНИЦЬКИЙ;Приватний вищий навчальний заклад "Міжнародна академія екології та медицини";1292;;Приватна;Без підпорядкування;8;0
Студентський квиток;2015;ОДЕСЬКА ОБЛАСТЬ;ОДЕСА;Одеський національний медичний університет;188;;Державна;Міністерство охорони здоров`я України;390;0
Студентський квиток;2015;ПОЛТАВСЬКА ОБЛАСТЬ;ПОЛТАВА;Українська медична стоматологічна академія;276;;Державна;Міністерство охорони здоров`я України;2;0
Студентський квиток;2015;СУМСЬКА ОБЛАСТЬ;ЗАРІЧНИЙ;Сумський державний університет;168;;Державна;Міністерство освіти і науки України;220;0
Студентський квиток;2015;ТЕРНОПІЛЬСЬКА ОБЛАСТЬ;ТЕРНОПІЛЬ;Тернопiльський національний медичний університет iменi I.Я. Горбачевського Міністерства охорони здоров`я України;102;;Державна;Міністерство охорони здоров`я України;375;0
Студентський квиток;2015;ХАРКІВСЬКА ОБЛАСТЬ;ШЕВЧЕНКІВСЬКИЙ;Харківський національний університет імені В.Н. Каразіна;62;;Державна;Міністерство освіти і науки України;76;0
Студентський квиток;2015;ХАРКІВСЬКА ОБЛАСТЬ;ХАРКІВ;Харківський національний медичний університет;300;;Державна;Міністерство охорони здоров`я України;421;0
Студентський квиток;2015;ЧЕРНІВЕЦЬКА ОБЛАСТЬ;ШЕВЧЕНКІВСЬКИЙ;Буковинський державний медичний університет;85;;Державна;Міністерство охорони здоров`я України;462;0
Студентський квиток;2016;ВІННИЦЬКА ОБЛАСТЬ;ЛЕНІНСЬКИЙ;Вінницький національний медичний університет ім. М. І. Пирогова;20;;Державна;Міністерство охорони здоров`я України;1053;2
Студентський квиток;2016;ВОЛИНСЬКА ОБЛАСТЬ;ЛУЦЬК;Волинський фаховий коледж культури і мистецтв імені І.Ф.Стравінського Волинської обласної ради;1039;;Комунальна;Обласна державна адміністрація;69;0
Студентський квиток;2016;ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ;ДНІПРО;Дніпровський державний медичний університет;210;;Державна;Міністерство охорони здоров`я України;497;0
Студентський квиток;2016;ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ;СОБОРНИЙ;Товариство з обмеженою відповідальністю "Дніпровський медичний інститут традиційної і нетрадиційної медицини";864;;Приватна;Без підпорядкування;12;0
Студентський квиток;2016;ДОНЕЦЬКА ОБЛАСТЬ;ЛИМАН;Донецький національний медичний університет;4;;Державна;Міністерство охорони здоров`я України;476;0
Студентський квиток;2016;ЖИТОМИРСЬКА ОБЛАСТЬ;КОРОЛЬОВСЬКИЙ;Поліський національний університет;229;;Державна;Міністерство освіти і науки України;39;0
Студентський квиток;2016;ЗАКАРПАТСЬКА ОБЛАСТЬ;УЖГОРОД;Державний вищий навчальний заклад "Ужгородський національний університет";207;;Державна;Міністерство освіти і науки України;253;1
Студентський квиток;2016;ЗАПОРІЗЬКА ОБЛАСТЬ;ВОЗНЕСЕНІВСЬКИЙ;Запорізький державний медичний університет;99;;Державна;Міністерство охорони здоров`я України;566;25
Студентський квиток;2016;ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ;ІВАНО-ФРАНКІВСЬК;Івано-Франківський національний медичний університет;285;;Державна;Міністерство охорони здоров`я України;500;18
Студентський квиток;2016;КИЇВСЬКА ОБЛАСТЬ;БІЛА ЦЕРКВА;Білоцерківський національний аграрний університет;362;;Державна;Міністерство освіти і науки України;16;0
Студентський квиток;2016;ЛУГАНСЬКА ОБЛАСТЬ;РУБІЖНЕ;Державний заклад "Луганський державний медичний університет";13;;Державна;Міністерство охорони здоров`я України;94;0
Студентський квиток;2016;ЛУГАНСЬКА ОБЛАСТЬ;РУБІЖНЕ;Інститут хімічних технологій Східноукраїнського національного університету імені Володимира Даля (м. Рубіжне);38;21;Державна;Міністерство освіти і науки України;7;0
Студентський квиток;2016;ЛЬВІВСЬКА ОБЛАСТЬ;ЛИЧАКІВСЬКИЙ;Львівський національний медичний університет імені Данила Галицького;121;;Державна;Міністерство охорони здоров`я України;817;10
Студентський квиток;2016;ЛЬВІВСЬКА ОБЛАСТЬ;ЛИЧАКІВСЬКИЙ;Львівський національний університет ветеринарної медицини та біотехнологій імені С. З. Ґжицького;126;;Державна;Міністерство освіти і науки України;141;0
Студентський квиток;2016;ЛЬВІВСЬКА ОБЛАСТЬ;ФРАНКІВСЬКИЙ;Товариство з обмеженою відповідальністю "Львівський медичний інститут";1362;;Приватна;Без підпорядкування;13;0
Студентський квиток;2016;М.КИЇВ;ПЕЧЕРСЬКИЙ;Національний транспортний університет;24;;Державна;Міністерство освіти і науки України;0;70
Студентський квиток;2016;М.КИЇВ;ШЕВЧЕНКІВСЬКИЙ;Київський національний університет імені Тараса Шевченка;41;;Державна;Міністерство освіти і науки України;1;71
Студентський квиток;2016;М.КИЇВ;М.КИЇВ;ПРИВАТНИЙ ВИЩИЙ НАВЧАЛЬНИЙ ЗАКЛАД "КИЇВСЬКИЙ МЕДИЧНИЙ УНІВЕРСИТЕТ";197;;Приватна;Без підпорядкування;151;12
Студентський квиток;2016;М.КИЇВ;ШЕВЧЕНКІВСЬКИЙ;Національна академія образотворчого мистецтва і архітектури;297;;Державна;Міністерство культури України;0;8
Студентський квиток;2016;М.КИЇВ;СВЯТОШИНСЬКИЙ;Приватний заклад вищої освіти "Київський міжнародний університет";344;;Приватна;Без підпорядкування;8;0
Студентський квиток;2016;М.КИЇВ;ГОЛОСІЇВСЬКИЙ;Київська муніципальна академія музики ім. Р.М. Глієра;1065;;Комунальна;Виконавчий орган Київської міської ради (Київська міська державна адміністрація);0;8
Студентський квиток;2016;М.КИЇВ;ДАРНИЦЬКИЙ;Приватний вищий навчальний заклад "Міжнародна академія екології та медицини";1292;;Приватна;Без підпорядкування;21;0
Студентський квиток;2016;МИКОЛАЇВСЬКА ОБЛАСТЬ;ЦЕНТРАЛЬНИЙ;Чорноморський національний університет імені Петра Могили;265;;Державна;Міністерство освіти і науки України;22;0
Студентський квиток;2016;ОДЕСЬКА ОБЛАСТЬ;КИЇВСЬКИЙ;Одеський державний екологічний університет;179;;Державна;Міністерство освіти і науки України;15;0
Студентський квиток;2016;ОДЕСЬКА ОБЛАСТЬ;ОДЕСА;Одеський національний медичний університет;188;;Державна;Міністерство охорони здоров`я України;549;16
